CodPer,CodPro,Costo,Precio,Cantidad,CodTra,NoTra,SubTotal,Descuento,IVA,Total,fkCodPerRec,fkCodPerEnt,CodDet,Cantidad,Precio,SubtotalPro,fkCodTra,fkCodPro
36,12,6.00,9.00,1,30,30,441,0,0,441,36,48,906,4,15.00,15,30,12
36,16,13.00,19.00,3,30,30,441,0,0,441,36,48,932,2,9.00,9,30,16
36,19,14.00,21.00,3,30,30,441,0,0,441,36,48,38,5,7.00,7,30,19
36,29,12.00,18.00,2,30,30,441,0,0,441,36,48,1003,3,16.00,16,30,29
36,1,1.00,1.20,1,31,31,459,0,0,459,36,38,852,3,1.20,1,31,1
36,9,12.00,18.00,1,31,31,459,0,0,459,36,38,20,2,13.00,13,31,9
36,13,14.00,21.00,2,31,31,459,0,0,459,36,38,378,2,12.00,12,31,13
36,15,15.00,22.00,4,31,31,459,0,0,459,36,38,263,3,15.00,15,31,15
36,16,13.00,19.00,3,31,31,459,0,0,459,36,38,1137,1,9.00,9,31,16
36,18,14.00,21.00,1,31,31,459,0,0,459,36,38,1034,2,10.00,10,31,18
36,21,11.00,16.00,3,31,31,459,0,0,459,36,38,596,1,9.00,9,31,21
36,24,13.00,19.00,5,31,31,459,0,0,459,36,38,840,5,12.00,12,31,24
36,28,10.00,15.00,5,31,31,459,0,0,459,36,38,189,1,21.00,21,31,28
31,1,1.00,1.20,1,32,32,244,0,0,244,31,46,391,4,1.20,1,32,1
31,3,5.00,7.00,2,32,32,244,0,0,244,31,46,319,5,15.00,15,32,3
31,8,12.00,18.00,2,32,32,244,0,0,244,31,46,811,4,19.00,19,32,8
31,15,15.00,22.00,4,32,32,244,0,0,244,31,46,946,3,15.00,15,32,15
31,26,15.00,22.00,5,32,32,244,0,0,244,31,46,59,2,7.00,7,32,26
35,10,11.00,16.00,5,33,33,331,0,0,331,35,43,463,3,18.00,18,33,10
35,17,14.00,21.00,3,33,33,331,0,0,331,35,43,14,1,21.00,21,33,17
35,17,14.00,21.00,3,33,33,331,0,0,331,35,43,690,3,21.00,21,33,17
35,25,11.00,16.00,5,33,33,331,0,0,331,35,43,636,1,22.00,22,33,25
35,27,7.00,10.00,5,33,33,331,0,0,331,35,43,411,2,22.00,22,33,27
35,29,12.00,18.00,2,33,33,331,0,0,331,35,43,608,5,16.00,16,33,29
32,1,1.00,1.20,1,34,34,200,0,0,200,32,38,163,3,1.20,1,34,1
32,2,5.00,7.00,3,34,34,200,0,0,200,32,38,786,2,15.00,15,34,2
32,14,15.00,22.00,1,34,34,200,0,0,200,32,38,311,3,13.00,13,34,14
32,18,14.00,21.00,1,34,34,200,0,0,200,32,38,301,1,10.00,10,34,18
32,20,6.00,9.00,2,34,34,200,0,0,200,32,38,249,3,10.00,10,34,20
32,24,13.00,19.00,5,34,34,200,0,0,200,32,38,626,5,12.00,12,34,24
31,4,7.00,10.00,2,35,35,192,0,0,192,31,49,206,4,9.00,9,35,4
31,12,6.00,9.00,1,35,35,192,0,0,192,31,49,901,1,15.00,15,35,12
31,14,15.00,22.00,1,35,35,192,0,0,192,31,49,451,3,13.00,13,35,14
31,19,14.00,21.00,3,35,35,192,0,0,192,31,49,94,1,7.00,7,35,19
31,21,11.00,16.00,3,35,35,192,0,0,192,31,49,508,1,9.00,9,35,21
31,22,6.00,9.00,3,35,35,192,0,0,192,31,49,267,3,18.00,18,35,22
31,22,6.00,9.00,3,35,35,192,0,0,192,31,49,684,1,18.00,18,35,22
31,24,13.00,19.00,5,35,35,192,0,0,192,31,49,770,2,12.00,12,35,24
35,10,11.00,16.00,5,36,36,409,0,0,409,35,39,885,5,18.00,18,36,10
35,11,5.00,7.00,3,36,36,409,0,0,409,35,39,106,5,22.00,22,36,11
35,19,14.00,21.00,3,36,36,409,0,0,409,35,39,481,2,7.00,7,36,19
35,20,6.00,9.00,2,36,36,409,0,0,409,35,39,380,3,10.00,10,36,20
32,1,1.00,1.20,1,37,37,278,0,0,278,32,50,410,4,1.20,1,37,1
32,2,5.00,7.00,3,37,37,278,0,0,278,32,50,132,5,15.00,15,37,2
32,4,7.00,10.00,2,37,37,278,0,0,278,32,50,860,2,9.00,9,37,4
32,5,10.00,15.00,2,37,37,278,0,0,278,32,50,958,2,16.00,16,37,5
32,9,12.00,18.00,1,37,37,278,0,0,278,32,50,663,4,13.00,13,37,9
32,9,12.00,18.00,1,37,37,278,0,0,278,32,50,858,2,13.00,13,37,9
32,11,5.00,7.00,3,37,37,278,0,0,278,32,50,198,5,22.00,22,37,11
32,23,5.00,7.00,3,37,37,278,0,0,278,32,50,48,4,13.00,13,37,23
32,30,13.00,19.00,5,37,37,278,0,0,278,32,50,923,5,15.00,15,37,30
33,15,15.00,22.00,4,38,38,363,0,0,363,33,38,576,5,15.00,15,38,15
33,16,13.00,19.00,3,38,38,363,0,0,363,33,38,374,3,9.00,9,38,16
33,17,14.00,21.00,3,38,38,363,0,0,363,33,38,1162,5,21.00,21,38,17
33,18,14.00,21.00,1,38,38,363,0,0,363,33,38,265,4,10.00,10,38,18
33,28,10.00,15.00,5,38,38,363,0,0,363,33,38,366,5,21.00,21,38,28
36,1,1.00,1.20,1,39,39,384,0,0,384,36,45,704,2,1.20,1,39,1
36,18,14.00,21.00,1,39,39,384,0,0,384,36,45,53,3,10.00,10,39,18
36,21,11.00,16.00,3,39,39,384,0,0,384,36,45,682,2,9.00,9,39,21
36,22,6.00,9.00,3,39,39,384,0,0,384,36,45,653,4,18.00,18,39,22
36,30,13.00,19.00,5,39,39,384,0,0,384,36,45,237,4,15.00,15,39,30
36,7,9.00,13.00,1,40,40,239,0,0,239,36,40,447,5,9.00,9,40,7
36,8,12.00,18.00,2,40,40,239,0,0,239,36,40,197,2,19.00,19,40,8
36,8,12.00,18.00,2,40,40,239,0,0,239,36,40,1031,5,19.00,19,40,8
36,9,12.00,18.00,1,40,40,239,0,0,239,36,40,618,2,13.00,13,40,9
36,13,14.00,21.00,2,40,40,239,0,0,239,36,40,909,2,12.00,12,40,13
36,13,14.00,21.00,2,40,40,239,0,0,239,36,40,1142,4,12.00,12,40,13
36,20,6.00,9.00,2,40,40,239,0,0,239,36,40,798,5,10.00,10,40,20
32,1,1.00,1.20,1,41,41,354,0,0,354,32,44,556,2,1.20,1,41,1
32,9,12.00,18.00,1,41,41,354,0,0,354,32,44,1148,5,13.00,13,41,9
32,15,15.00,22.00,4,41,41,354,0,0,354,32,44,702,2,15.00,15,41,15
32,17,14.00,21.00,3,41,41,354,0,0,354,32,44,390,5,21.00,21,41,17
32,19,14.00,21.00,3,41,41,354,0,0,354,32,44,349,5,7.00,7,41,19
32,28,10.00,15.00,5,41,41,354,0,0,354,32,44,386,2,21.00,21,41,28
32,5,10.00,15.00,2,42,42,419,0,0,419,32,40,718,5,16.00,16,42,5
32,6,11.00,16.00,4,42,42,419,0,0,419,32,40,363,3,10.00,10,42,6
32,12,6.00,9.00,1,42,42,419,0,0,419,32,40,490,5,15.00,15,42,12
32,18,14.00,21.00,1,42,42,419,0,0,419,32,40,116,1,10.00,10,42,18
32,19,14.00,21.00,3,42,42,419,0,0,419,32,40,869,4,7.00,7,42,19
33,10,11.00,16.00,5,43,43,181,0,0,181,33,43,10,2,18.00,18,43,10
33,11,5.00,7.00,3,43,43,181,0,0,181,33,43,382,5,22.00,22,43,11
33,12,6.00,9.00,1,43,43,181,0,0,181,33,43,111,3,15.00,15,43,12
33,25,11.00,16.00,5,43,43,181,0,0,181,33,43,124,5,22.00,22,43,25
33,28,10.00,15.00,5,43,43,181,0,0,181,33,43,280,2,21.00,21,43,28
35,9,12.00,18.00,1,44,44,149,0,0,149,35,42,1017,1,13.00,13,44,9
35,19,14.00,21.00,3,44,44,149,0,0,149,35,42,268,3,7.00,7,44,19
35,26,15.00,22.00,5,44,44,149,0,0,149,35,42,1118,4,7.00,7,44,26
35,27,7.00,10.00,5,44,44,149,0,0,149,35,42,605,2,22.00,22,44,27
33,4,7.00,10.00,2,45,45,436,0,0,436,33,41,138,2,9.00,9,45,4
33,4,7.00,10.00,2,45,45,436,0,0,436,33,41,974,3,9.00,9,45,4
33,20,6.00,9.00,2,45,45,436,0,0,436,33,41,150,3,10.00,10,45,20
34,11,5.00,7.00,3,46,46,495,0,0,495,34,41,1119,4,22.00,22,46,11
34,14,15.00,22.00,1,46,46,495,0,0,495,34,41,1100,2,13.00,13,46,14
34,18,14.00,21.00,1,46,46,495,0,0,495,34,41,482,3,10.00,10,46,18
34,20,6.00,9.00,2,46,46,495,0,0,495,34,41,84,4,10.00,10,46,20
34,26,15.00,22.00,5,46,46,495,0,0,495,34,41,976,5,7.00,7,46,26
34,27,7.00,10.00,5,46,46,495,0,0,495,34,41,969,5,22.00,22,46,27
36,4,7.00,10.00,2,47,47,130,0,0,130,36,40,52,2,9.00,9,47,4
36,8,12.00,18.00,2,47,47,130,0,0,130,36,40,342,4,19.00,19,47,8
36,8,12.00,18.00,2,47,47,130,0,0,130,36,40,488,4,19.00,19,47,8
36,9,12.00,18.00,1,47,47,130,0,0,130,36,40,1127,3,13.00,13,47,9
36,11,5.00,7.00,3,47,47,130,0,0,130,36,40,730,5,22.00,22,47,11
36,11,5.00,7.00,3,47,47,130,0,0,130,36,40,850,4,22.00,22,47,11
36,15,15.00,22.00,4,47,47,130,0,0,130,36,40,441,1,15.00,15,47,15
36,19,14.00,21.00,3,47,47,130,0,0,130,36,40,128,1,7.00,7,47,19
36,22,6.00,9.00,3,47,47,130,0,0,130,36,40,1133,3,18.00,18,47,22
36,26,15.00,22.00,5,47,47,130,0,0,130,36,40,903,4,7.00,7,47,26
36,28,10.00,15.00,5,47,47,130,0,0,130,36,40,387,1,21.00,21,47,28
33,7,9.00,13.00,1,48,48,164,0,0,164,33,50,841,2,9.00,9,48,7
33,9,12.00,18.00,1,48,48,164,0,0,164,33,50,719,3,13.00,13,48,9
33,17,14.00,21.00,3,48,48,164,0,0,164,33,50,933,5,21.00,21,48,17
33,25,11.00,16.00,5,48,48,164,0,0,164,33,50,519,3,22.00,22,48,25
33,29,12.00,18.00,2,48,48,164,0,0,164,33,50,364,1,16.00,16,48,29
33,29,12.00,18.00,2,48,48,164,0,0,164,33,50,949,2,16.00,16,48,29
35,3,5.00,7.00,2,49,49,417,0,0,417,35,41,812,2,15.00,15,49,3
35,8,12.00,18.00,2,49,49,417,0,0,417,35,41,580,4,19.00,19,49,8
35,12,6.00,9.00,1,49,49,417,0,0,417,35,41,266,2,15.00,15,49,12
35,23,5.00,7.00,3,49,49,417,0,0,417,35,41,1130,1,13.00,13,49,23
31,2,5.00,7.00,3,50,50,434,0,0,434,31,37,70,4,15.00,15,50,2
